YEAR,MONTH,TIME,Urea,MP,TSP,VIX_index,Energy_Price_Index,Maize,Rice,Wheat,Food_Price_Index,YEAR
2016,Aug,Aug-2016,186.25,206.5,281.25,12.40,57.43,150.15,415,127.9,91.55,
2016,Sep,Sep-2016,187.3,206.5,287,14.22,58.23,148.43,384,123.25,90.54,
2016,Oct,Oct-2016,187.5,206.5,285,14.59,64.32,152.26,369,122.56,89.35,
2016,Nov,Nov-2016,205,206.5,285,15.24,60.03,151.8,365,122.55,89.92,
2016,Dec,Dec-2016,217.75,206.5,277.5,12.47,68.47,152.45,373,122.85,90.29,
2017,Jan,Jan-2017,233.75,206.5,270,11.61,69.28,159.99,377,137.15,92.13,
2017,Feb,Feb-2017,191.88,301.5,278.75,11.53,69.33,162.86,367,147.36,91.74,
2017,Mar,Mar-2017,223.5,206.5,288,11.90,65.21,158.96,370,146.43,90.41,
2017,Apr,Apr-2017,207.88,206.5,285,13.14,66.99,156.44,380,138.41,89.42,
2017,May,May-2017,178.75,206.5,275,10.86,64.23,158.59,421,146.44,91.82,
2017,Jun,Jun-2017,191,206.5,275,10.51,60.21,157.93,458,157.25,91.52,
2017,Jul,Jul-2017,181,207.25,275.75,10.26,62.19,157.51,417,174.53,91.68,
2017,Aug,Aug-2017,192.63,215.5,280.5,11.98,65.29,148.5,393,139.05,88.5,
2017,Sep,Sep-2017,219,215.5,283.2,10.44,68.82,147.29,402,138.41,89.23,
2017,Oct,Oct-2017,252.5,215.5,283.5,10.13,70.85,148.62,394,133.34,88.6,
2017,Nov,Nov-2017,280,215.5,295,10.54,76.63,148.7,402,138.05,89.19,
2017,Dec,Dec-2017,214.63,215.5,308.75,10.26,78.11,148.98,406,147.1,88.2,
2018,Jan,Jan-2018,219.63,215.5,320,11.06,85.01,155.84,442,156.39,90.64,
2018,Feb,Feb-2018,232.5,215.5,320,22.46,80.54,163.36,425,172.29,92.92,
2018,Mar,Mar-2018,232.5,215.5,324,19.02,80.9,172,430,180.92,94,
2018,Apr,Apr-2018,230.63,215.5,325,18.27,85.93,175.6,451,180.38,96.09,
2018,May,May-2018,221.88,215.5,326,14.12,91.76,179.09,451,192.7,96.79,
2018,Jun,Jun-2018,224,215.5,335.2,13.68,90.83,165.07,427,193.08,93.38,
2018,Jul,Jul-2018,252.5,215.5,344.25,13.15,91.73,156.46,398,196.81,89.97,
2018,Aug,Aug-2018,260,215.5,357.6,12.55,90.38,162.37,405,211.29,88.7,
2018,Sep,Sep-2018,267.5,215.5,376.25,12.91,95.61,154.8,405,191.14,85.64,
2018,Oct,Oct-2018,270,215.5,385,19.35,96.86,160.26,409,188.46,86.4,
2018,Nov,Nov-2018,305.6,215.5,379.2,19.39,81.9,160.69,401,181.55,84.84,
2018,Dec,Dec-2018,276.67,215.5,368.33,24.95,72.68,167.44,404,188.54,86.08,
2019,Jan,Jan-2019,260,215.5,355,19.57,73.79,166.74,410,188.84,86.97,
2019,Feb,Feb-2019,250.63,215.5,343.75,15.23,77.38,169.52,408,177.92,87.45,
2019,Mar,Mar-2019,247.5,245.5,321,14.49,79.94,166.22,406,164.51,86.2,
2019,Apr,Apr-2019,247.5,265.5,310,12.95,84.18,161.49,413,159.03,85.97,
2019,May,May-2019,247.5,265.5,305,16.72,81.77,171.08,409,158.28,84.98,
2019,Jun,Jun-2019,247.5,265.5,293.75,15.84,73.04,195.08,420,174.7,88.06,
2019,Jul,Jul-2019,263.5,265.5,283.75,13.31,74.83,189.42,416,163.88,86.86,
2019,Aug,Aug-2019,262.5,265.5,275,18.98,70.37,163.59,430,149.36,84.69,
2019,Sep,Sep-2019,237.75,265.5,270,15.56,73.6,157.26,427,146.57,84.21,
2019,Oct,Oct-2019,237,265.5,270,15.47,70.8,167.15,424,153.22,86.3,
2019,Nov,Nov-2019,224.5,265.5,264,12.52,74.6,166.33,421,157.53,89.87,
2019,Dec,Dec-2019,217.5,265.5,243.33,13.76,76.88,166.96,432,165.25,92.09,
2020,Jan,Jan-2020,215.4,245,239,13.94,74.44,171.79,451,178.24,94.48,
2020,Feb,Feb-2020,214.38,245,245,19.63,64.96,168.71,450,172.23,90.51,
2020,Mar,Mar-2020,231.13,245,245,57.74,42.06,162.42,494,170.87,88.03,
2020,Apr,Apr-2020,235,245,245,41.45,29.35,146.91,564,179.75,85.62,
2020,May,May-2020,201.9,216,243,30.90,38.81,143.91,510,174.95,85.43,
2020,Jun,Jun-2020,202,202.5,240,31.12,48.34,147.99,520,169.72,88.32,
2020,Jul,Jul-2020,214.4,202.5,262.2,26.84,51.2,152.55,480,170.57,88.46,
2020,Aug,Aug-2020,249.5,202.5,276.25,22.89,53.78,149.34,505,174.18,90.67,
2020,Sep,Sep-2020,250.5,202.5,282.5,27.65,50.97,166.08,507,204.14,93.81,
2020,Oct,Oct-2020,245,202.5,290,29.44,51.33,186.75,471,203.43,96.92,
2020,Nov,Nov-2020,245,202.5,292.5,25.00,54.66,190.38,489,210.75,102.32,
2020,Dec,Dec-2020,245,202.5,320,22.37,62.92,198.77,520,217.31,105.77,
2021,Jan,Jan-2021,265,202.5,337.6,24.91,69.31,234.47,545,237.94,113.32,
2021,Feb,Feb-2021,335,202.5,453.75,23.14,79.28,245.24,557,240.81,115.16,
2021,Mar,Mar-2021,352.88,202.5,458,21.84,79.83,245.17,525,229.89,114.5,
2021,Apr,Apr-2021,328.1,202.5,478,17.42,79.37,268.23,495,239.94,119.04,
2021,May,May-2021,331.63,202.5,527.5,19.76,85.08,305.31,493,278.45,125.91,
2021,Jun,Jun-2021,393.25,202.5,550,16.96,93.15,292.56,466,238.77,122.53,
2021,Jul,Jul-2021,441.5,202.5,555,17.60,97.68,278.43,414,243.63,121.08,
2021,Aug,Aug-2021,446.88,221,555,17.47,95.63,256.61,403,274.88,120.97,
