Time,Intensity,Intensity_1
0.003443,-4437729,-14959770
0.003454,-4216273,-9070269
0.003465,-588971,-1396124
0.003476,-2461741,17460136
0.003487,2273801,20982436
0.003498,9950642,18418298
0.003509,8246550,15056762
0.00352,15708828,5253242
0.003531,6128429,4101870
0.003542,-1627057,-16578709
0.003553,-1914291,-31982522
0.003564,-6088858,-17306316
0.003575,-8815228,-12455841
0.003586,-9735576,-12492082
0.003597,-4108783,2619860
0.003608,686415,6494503
0.003619,4205236,11588849
0.00363,5417679,15891720
0.003641,10277907,12825717
0.003652,10363262,3716681
0.003663,8434901,6480762
0.003674,-113495,-3305390
0.003685,-1788950,-14329366
0.003696,-3617374,-20502024
0.003707,-2828966,-20044798
0.003718,-15009280,-17647328
0.003729,-11143522,-9647817
0.00374,-12106421,1929713
0.003751,-8627097,9777988
0.003762,638221,24049074
0.003773,7041421,24031004
0.003784,6089744,19417388
0.003795,8690792,21603702
0.003806,6266786,5113368
0.003817,8198017,-16076647
0.003828,-5040125,-11343509
0.003839,-13200818,-21662278
0.00385,-6836618,-15557834
0.003861,-13557842,-4197084
0.003872,-1876788,350922
0.003883,2949213,10919915
0.003894,13593107,19542672
0.003905,12470986,18270394
0.003916,10555307,11955337
0.003927,7596901,5037167
0.003938,3387182,4145292
0.003949,-2963007,-1562697
0.00396,-10861261,-12431764
0.003971,-15733066,-7116927
0.003982,-8324520,-4236653
0.003993,2255192,7302009
0.004004,6585417,2490683
0.004015,17059518,-2266708
0.004026,18826070,-4015905
0.004037,8717429,-2015343
0.004048,12765076,16286
0.004059,-8291567,-104758
0.00407,-18190116,4508267
0.004081,-14474565,410884
0.004092,-20581824,8282767
0.004103,-9891748,9093090
0.004114,5001430,2010492
0.004125,11665140,-9227685
0.004136,12726342,-4854469
0.004147,25327212,-12482884
0.004158,13043461,-7630916
0.004169,8180225,-7569507
0.00418,-10874519,-2300478
0.004191,-9537462,-1563140
0.004202,-16347605,10034257
0.004213,-11054902,7027886
0.004224,-9990166,5751166
0.004235,-13829675,7069815
0.004246,-2481215,8367731
0.004257,14691963,7490696
0.004268,17665342,-3206317
0.004279,13445345,-9595268
0.00429,14353548,-12545921
0.004301,22325116,-2034858
0.004312,12550750,-3590497
0.004323,1380656,-5001989
0.004334,-10225989,11829164
0.004345,-16360582,8043812
0.004356,-17804864,14463850
0.004367,-20254604,4560090
0.004378,-5894927,16546729
0.004389,7142779,9348892
0.0044,11667426,-671872
0.004411,19807582,-7675610
0.004422,23627444,979454
0.004433,12713537,-11972103
0.004444,10584536,-17379492
0.004455,-213675,-11565946
0.004466,-12006509,-5695120
0.004477,-19586920,4800793
0.004488,-22240724,16366986
0.004499,-10925963,12893832
0.00451,1385368,9414319
0.004521,8085081,-53137
0.004532,2399480,-9834789
0.004543,16753630,-15696942
0.004554,358087,-16464667
0.004565,7010730,-9307338
0.004576,-2464648,2570821
0.004587,-4382103,2307582
0.004598,2134350,9646078
0.004609,1165006,23531664
0.00462,5930854,13824079
0.004631,5565546,3915986
0.004642,8678295,-6504903
0.004653,-3191967,-18874144
0.004664,-15467264,-14386517
0.004675,-22964892,-14535708
0.004686,-14954488,-1777260
0.004697,-12411995,3409509
0.004708,2671562,14683377
0.004719,16897734,20943560
0.00473,17277092,22679716
0.004741,24424580,8094750
0.004752,16784952,-5800340
0.004763,5036613,-10511964
0.004774,-6782148,-18597076
0.004785,-18734008,-10635917
0.004796,-24074496,-14967623
0.004807,-21967278,-2557145
0.004818,-13261248,3962287
0.004829,-2936828,7066234
0.00484,12013588,9287832
0.004851,20890192,11188041
0.004862,17071856,3716328
0.004873,18485232,9918419
0.004884,5971951,-7023401
0.004895,-3296694,-2856574
0.004906,-11181434,-7602279
0.004917,-15203291,-12994558
0.004928,-14234404,-10046782
0.004939,-9783537,-5471751
0.00495,-7959076,-1354364
0.004961,-2013225,-8967461
0.004972,6293893,-3743874
0.004983,10442063,2810334
0.004994,6110601,7845992
0.005005,2481392,4715486
0.005016,10006506,9793158
0.005027,5218834,3682546
0.005038,-6516201,2319186
0.005049,-3937835,-6007334
0.00506,-3732497,-7117918
0.005071,-12672835,-1806241
0.005082,-3662525,-13109618
0.005093,-11587207,-5324588
0.005104,-414914,2706131
0.005115,11039783,2765011
0.005126,9103338,10098697
0.005137,9003352,8651402
0.005148,-3151803,2555595
0.005159,-1112901,8339479
0.00517,-7296466,11619953
0.005181,-5824457,7082928
0.005192,-4187485,4164343
0.005203,-2245307,5375758
0.005214,1949169,-1347486
0.005225,5591736,-3210069
0.005236,17739866,-13002931
0.005247,12845503,-17381380
0.005258,-455150,-5733670
0.005269,-3389141,-3286510
0.00528,-10668398,2908144
0.005291,-8662548,14368576
0.005302,-9459927,27549408
0.005313,-6862945,19157080
0.005324,5401706,14627739
0.005335,7629993,-2194719
0.005346,20476548,-3116262
0.005357,4386714,-21959580
0.005368,7683690,-31830548
0.005379,-3416054,-29165020
0.00539,-8987596,-12827039
0.005401,-10679134,2683412
0.005412,-4247544,14606485
0.005423,541309,25481592
0.005434,-139882,21373960
0.005445,5283420,15389275
0.005456,4804084,10960403
0.005467,5045986,-923915
0.005478,-8370482,-8885784
0.005489,-6973552,-15662736
0.0055,-10014065,-13424365
0.005511,-1962833,-8614724
0.005522,2944653,-1114103
0.005533,7407625,5850753
0.005544,7155024,11337704
0.005555,10259729,9766916
0.005566,9792387,-1452336
0.005577,-6535571,-1576536
0.005588,-8193200,2630637
0.005599,-19756004,2261290
0.00561,-16934764,7697827
0.005621,-15936866,10313752
0.005632,658189,6703382
0.005643,14652221,2370162
0.005654,23826864,1199327
0.005665,22230992,-6218310
0.005676,23309492,-9367523
0.005687,14978762,-11207916
0.005698,-7626546,-16333579
0.005709,-12019590,-4520673
0.00572,-17254676,-335072
0.005731,-15426201,14086183
0.005742,-14255553,20612154
0.005753,-11940182,10277516
0.005764,-1470824,4773717
0.005775,5579774,-898384
0.005786,19796124,-10583999
0.005797,21078510,-12648103
0.005808,16940538,-11460357
0.005819,14314032,-4898531
0.00583,274345,-1691099
0.005841,-4604765,-1248185
0.005852,-5315290,4090328
0.005863,-12214326,6589987
0.005874,-15536026,3210628
0.005885,-10812616,-4527701
0.005896,-5038965,-1813054
0.005907,-1448809,-1184171
0.005918,-1100028,1401285
0.005929,817269,530828
0.00594,5789423,-3050006
0.005951,8509161,-5440576
0.005962,9251541,-126068
0.005973,2454399,5974937
0.005984,4216564,8310763
0.005995,-14763132,5311448
0.006006,-8304067,4447015
0.006017,-4896794,-338459
0.006028,-8270086,7580512
0.006039,-4506843,-7626248
0.00605,1315861,-6442753
0.006061,-373473,-5333663
0.006072,2878103,-18089628
0.006083,4521105,-4880114
0.006094,3427559,5121886
0.006105,3826247,10205683
0.006116,6485268,19250320
0.006127,7437327,17296852
0.006138,4412485,9216702
0.006149,7874820,-7953510
0.00616,7038212,-13840473
0.006171,87439,-16747664
0.006182,-17753444,-21677078
0.006193,-16210971,-7222009
0.006204,-16909124,4068002
0.006215,-6885214,7570799
0.006226,-610404,21823432
0.006237,15662203,22758170
0.006248,25354450,15202899
0.006259,21867916,12952647
0.00627,11861394,-1782128
0.006281,666066,-21757210
0.006292,-10092075,-27580148
0.006303,-22216936,-19485514
0.006314,-29744366,-14984225
0.006325,-29562776,-7599318
0.006336,-6394134,5014586
0.006347,3193797,17801156
0.006358,17076094,18757402
0.006369,24212500,5422035
0.00638,25098886,601174
0.006391,18623376,-3261484
0.006402,1872645,-10475042
0.006413,-20089944,-5390264
0.006424,-18572336,-3212346
0.006435,-18572676,4060221
0.006446,-15529519,2018469
0.006457,-767480,3820105
0.006468,7103840,-1934495
0.006479,9222550,1138725
0.00649,10192359,-11896752
0.006501,8053227,-12144012
0.006512,-1465743,-2302529
0.006523,-10710057,-460086
0.006534,-11836695,17882904
0.006545,-10505673,27082288
0.006556,-7224539,17773816
0.006567,2202488,16124759
0.006578,10331986,3903313
0.006589,13554680,-12612692
0.0066,14866337,-15780619
0.006611,11811589,-21344172
0.006622,-1970342,-15922496
0.006633,6399901,-9504155
0.006644,-7331973,-2155227
0.006655,613134,7175910
0.006666,-2566804,20576964
0.006677,2096400,21310324
0.006688,-1716568,19505808
0.006699,7741731,5755527
0.00671,12341865,7928402
0.006721,8357048,-9429068
0.006732,2605545,-15986774
0.006743,1954149,-12124530
0.006754,-388687,-20302784
0.006765,2955114,-11116515
0.006776,-953305,-7544008
0.006787,-732814,-2597212
0.006798,-6784897,8685844
0.006809,-5890512,16449310
0.00682,998884,16923264
0.006831,-1475084,12265736
0.006842,-958898,10530274
0.006853,8973616,-6970420
0.006864,10539251,-5152424
0.006875,258132,-20706252
0.006886,7042528,-15499557
0.006897,-1135550,-17011468
0.006908,1622658,-10970201
0.006919,773779,1345859
0.00693,-8489473,8826423
0.006941,-948615,11987952
0.006952,5740042,15696733
0.006963,2568916,6477756
0.006974,545908,3577292
0.006985,-2878746,-495796
0.006996,-1956067,-6617335
0.007007,-5825470,-7946444
0.007018,-2245517,-16739245
0.007029,4209852,-1166758
0.00704,8335006,5248884
0.007051,15204302,34956
0.007062,20364072,-3035544
0.007073,16578312,2904766
0.007084,8687343,-4601031
0.007095,-7087339,-4749646
0.007106,-2677615,-6889452
0.007117,-16066867,2648820
0.007128,-21116060,7222865
0.007139,-13356290,4238574
0.00715,-7774692,13641060
0.007161,13451537,1820719
0.007172,20745670,-3806215
0.007183,31021192,-5190991
0.007194,26319386,-7330919
0.007205,13939062,-18286324
0.007216,-1693902,-20316224
0.007227,-14488781,-5040631
0.007238,-30487194,6902511
0.007249,-27596412,13100879
0.00726,-16853986,14648268
0.007271,-12686379,18357016
0.007282,-146355,7311286
0.007293,21486592,-8811025
0.007304,21331556,-14220367
0.007315,11825142,-16242842
0.007326,12485644,-19171228
0.007337,-2441473,-3458186
0.007348,-4099519,4085534
0.007359,-15386545,17775332
0.00737,-13366450,20082704
0.007381,-4520097,12121588
0.007392,-5303890,8882930
0.007403,-905094,-3435989
0.007414,-5117351,-5210947
0.007425,-165932,-20254902
0.007436,268884,-10370514
0.007447,-5255289,-3668688
0.007458,-7010446,5398393
0.007469,4173209,13540349
0.00748,13638952,15659599
0.007491,6978596,26107708
0.007502,10810878,7929131
0.007513,5651581,4638444
0.007524,2396549,-9543404
0.007535,-11178431,-11663546
0.007546,-18376972,-13287298
0.007557,-16004140,-12292033
0.007568,-16623096,-11387530
0.007579,-9174451,177982
0.00759,-1546081,9361109
0.007601,9997012,8703154
0.007612,16634576,15478985
0.007623,24109356,8731121
0.007634,9133501,6188447
0.007645,8277656,-1200473
0.007656,1692545,-10082246
0.007667,-9223744,-10725002
0.007678,-16494606,-15906960
0.007689,-18389424,-7014795
0.0077,-14779428,-4310219
0.007711,-7257653,-10408272
0.007722,-3814900,-588398
0.007733,6497599,8364682
0.007744,13427509,13094635
0.007755,15228669,20374412
0.007766,14436333,5272336
0.007777,6232027,3244843
0.007788,5601599,-4121637
0.007799,-6375442,-8804675
0.00781,-11059381,-3308791
0.007821,-10122329,-6659790
0.007832,-15182182,-6512540
0.007843,-11392489,-10172414
0.007854,3124949,4255151
0.007865,16243753,9093701
0.007876,12542976,6112041
0.007887,8280846,1202864
0.007898,16270470,7035052
0.007909,5309628,3930028
0.00792,338838,4746874
0.007931,-13286624,3253738
0.007942,-11405137,7147216
0.007953,-13985861,1928446
0.007964,-2848181,17400126
0.007975,14597465,-574333
0.007986,13347713,-2714744
0.007997,12778966,-19573658
0.008008,9423051,-23369400
0.008019,-265827,-11565123
0.00803,-2214441,-6341336
0.008041,-22544888,6097506
0.008052,-20732618,20491082
0.008063,-17494212,24077580
0.008074,-9696992,23345434
0.008085,7283389,9360982
0.008096,15771708,4514909
0.008107,25354392,-8661531
0.008118,16854672,-23746000
0.008129,9885143,-32395160
0.00814,539977,-29296634
0.008151,-14707791,-17537506
0.008162,-22946312,40580
0.008173,-15876892,13519441
0.008184,-2293968,27093958
0.008195,4872990,23720824
0.008206,9891612,25915726
0.008217,6065488,8738581
0.008228,9925052,-13765039
0.008239,10857183,-16713746
0.00825,389508,-22769512
0.008261,-4702349,-25219052
0.008272,-10461654,-17168176
0.008283,-10278405,-1225313
0.008294,-5920978,3603495
0.008305,1860456,17879576
0.008316,6010526,23106908
0.008327,7262548,19681346
0.008338,-2025677,9078530
0.008349,-391775,4000515
0.00836,-4274452,366085
0.008371,-2694094,-9906452
0.008382,-16803858,-4989004
0.008393,-1683760,1990388
0.008404,6237559,7418849
0.008415,8624853,2301983
0.008426,17265600,10657809
0.008437,14197244,3528942
0.008448,12406051,987078
0.008459,-150624,2386059
0.00847,2042518,710542
0.008481,-4661559,1515626
0.008492,-15684917,1154631
0.008503,-20810976,-2771729
0.008514,-9685090,4168661
0.008525,-9543984,-1419310
0.008536,-2535396,-2441182
0.008547,11040547,11872695
0.008558,12109780,1550268
0.008569,14523778,-4696634
0.00858,18333288,-2642783
0.008591,10754989,-5108257
0.008602,2673975,-3416238
0.008613,-11194301,679193
0.008624,-26818258,517386
0.008635,-23322336,-4824679
0.008646,-27442320,3614256
0.008657,-20910828,12961529
0.008668,-10993836,7651889
0.008679,6744350,11097093
0.00869,20535296,1486304
0.008701,25407874,2668565
0.008712,22849048,-6524754
0.008723,21086912,-12686678
0.008734,5029070,-3834907
0.008745,-8255182,-11828276
0.008756,-20646712,-6001432
0.008767,-32511782,6110978
0.008778,-19086636,8805547
0.008789,-10381437,11779169
0.0088,-1866527,14314524
0.008811,18394712,8752955
0.008822,16381823,-9667353
0.008833,18857684,-6962572
0.008844,17672598,-10415184
0.008855,7557292,-5683039
0.008866,-989566,-2693833
0.008877,-2471727,878187
0.008888,-6945458,9749835
0.008899,-7191281,10334285
0.00891,-10814396,16115030
0.008921,1004311,-7296355
0.008932,4475470,-5404247
0.008943,3996923,-15572035
0.008954,-7496488,-16341080
0.008965,-2751597,-12805168
0.008976,-1485635,-2621169
0.008987,1141113,6855672
0.008998,2139040,12266897
0.009009,7929537,12682122
0.00902,4041679,11001605
0.009031,5735732,5345523
0.009042,2779282,4481672
0.009053,2379794,-8376591
0.009064,-5305597,-21656418
0.009075,-15627541,-19315866
0.009086,-9295338,-16399181
0.009097,-6552880,-8732422
0.009108,-10145855,3673036
0.009119,3048543,7081265
0.00913,5882296,13134337
0.009141,13394601,11887510
0.009152,4760640,14842324
0.009163,5364349,7003313
0.009174,-125189,-2599145
0.009185,-9643445,-8033344
0.009196,-2855348,-5223307
0.009207,-7366915,-12256701
0.009218,-5957006,-12770863
0.009229,-1633155,-12475470
0.00924,-343529,-638834
0.009251,-4059867,1150876
0.009262,-3416376,5271188
0.009273,-5813883,16316020
0.009284,7848108,18675524
0.009295,6452268,11363837
0.009306,6478701,10746135
0.009317,2873285,4136529
0.009328,1892388,-8601133
0.009339,2675662,-12824196
0.00935,-1293881,-21730572
0.009361,-6622581,-23057904
0.009372,-8029768,-8937775
0.009383,-381506,-4717848
0.009394,-4857935,3864256
0.009405,-316723,13850650
0.009416,10963036,15076102
0.009427,8458693,5230859
0.009438,6809436,14303190
0.009449,-1265930,7458867
0.00946,-1791399,-4801087
0.009471,-3305442,-14723706
0.009482,-8731819,-23401996
0.009493,-10519015,-7059788
0.009504,-4524869,-11994999
0.009515,-3480254,-8655834
0.009526,8345084,1041494
0.009537,10159408,9174890
0.009548,1478232,7263797
0.009559,-1002296,-3542346
0.00957,-8777153,2632135
0.009581,-6876001,3560613
0.009592,-8451631,10306396
0.009603,-8223720,4874689
0.009614,-8280235,3806385
0.009625,8454488,-749680
0.009636,-273983,-6980195
0.009647,10986377,-10951279
0.009658,10428025,-8712663
0.009669,11695159,-15264929
0.00968,-2389614,-3320824
0.009691,-2299718,-36045
0.009702,-1460975,2860847
0.009713,-16056387,11787749
0.009724,-8730069,4777881
0.009735,-15031873,11957942
0.009746,-6465619,6870516
0.009757,-181271,-3344750
0.009768,10967011,-4584922
0.009779,10116716,-3839722
0.00979,15461287,-11582875
